Date,Symbol,Raw_Price,Cleaned_Price,Audit_Note
2026-02-13,ES,6850.5,6850.5,Data Integrity Verified (100% Clean)
2026-02-17,ES,6860.5,6860.5,Data Integrity Verified (100% Clean)
2026-02-18,ES,6894.25,6894.25,Data Integrity Verified (100% Clean)
2026-02-19,ES,6877.0,6877.0,Data Integrity Verified (100% Clean)
2026-02-20,ES,6923.25,6923.25,Data Integrity Verified (100% Clean)
2026-02-13,NQ,24803.25,24803.25,Data Integrity Verified (100% Clean)
2026-02-17,NQ,24767.75,24767.75,Data Integrity Verified (100% Clean)
2026-02-18,NQ,24956.0,24956.0,Data Integrity Verified (100% Clean)
2026-02-19,NQ,24858.75,24858.75,Data Integrity Verified (100% Clean)
2026-02-20,NQ,25067.5,25067.5,Data Integrity Verified (100% Clean)
2026-02-13,CL,62.89,62.89,Data Integrity Verified (100% Clean)
2026-02-17,CL,62.33,62.33,Data Integrity Verified (100% Clean)
2026-02-18,CL,65.19,65.19,Data Integrity Verified (100% Clean)
2026-02-19,CL,66.43,66.43,Data Integrity Verified (100% Clean)
2026-02-20,CL,66.48,66.48,Data Integrity Verified (100% Clean)
